EVENT,DATE,FINISHERS,VOLUNTEERS,MALE_FF,MALE_FF_TIME,FEMALE_FF,FEMALE_FF_TIME
321,27/05/2023,413,28,male ANON,00:16:33,female ANON,00:18:54
320,20/05/2023,509,31,male ANON,00:15:27,female ANON,00:17:22
319,13/05/2023,422,34,male ANON,00:15:44,female ANON,00:18:30
318,6/5/2023,468,33,male ANON,00:17:01,female ANON,00:18:43
317,29/04/2023,436,28,male ANON,00:16:07,female ANON,00:19:12
316,22/04/2023,487,30,male ANON,00:15:50,female ANON,00:17:57
315,15/04/2023,503,33,male ANON,00:15:53,female ANON,00:19:04
314,8/4/2023,419,30,male ANON,00:15:15,female ANON,00:19:07
313,1/4/2023,408,34,male ANON,00:16:49,female ANON,00:19:32
312,25/03/2023,421,31,male ANON,00:15:04,female ANON,00:18:46
311,18/03/2023,443,29,male ANON,00:15:42,female ANON,00:18:36
310,11/3/2023,408,30,male ANON,00:16:01,female ANON,00:19:03
309,4/3/2023,430,27,male ANON,00:16:53,female ANON,00:19:21
308,25/02/2023,402,31,male ANON,00:16:52,female ANON,00:18:17
307,18/02/2023,422,29,male ANON,00:16:02,female ANON,00:19:04
306,11/2/2023,445,30,male ANON,00:16:14,female ANON,00:21:46
305,4/2/2023,484,32,male ANON,00:15:36,female ANON,00:19:21
304,28/01/2023,522,29,male ANON,00:14:50,female ANON,00:16:36
303,21/01/2023,442,29,male ANON,00:16:54,female ANON,00:20:14
302,14/01/2023,424,28,male ANON,00:17:55,female ANON,00:19:34
301,7/1/2023,373,29,male ANON,00:16:14,female ANON,00:18:31
300,1/1/2023,417,31,male ANON,00:16:55,female ANON,00:20:06
299,31/12/2022,324,31,male ANON,00:15:31,female ANON,00:20:58
298,25/12/2022,283,36,male ANON,00:16:44,female ANON,00:20:38
297,24/12/2022,497,33,male ANON,00:16:00,female ANON,00:18:03
296,17/12/2022,274,27,male ANON,00:17:03,female ANON,00:20:43
295,10/12/2022,234,29,male ANON,00:16:21,female ANON,00:20:52
294,3/12/2022,301,27,male ANON,00:15:55,female ANON,00:15:44
293,26/11/2022,445,32,male ANON,00:16:03,female ANON,00:17:40
292,19/11/2022,338,31,male ANON,00:16:39,female ANON,00:19:04
291,12/11/2022,352,32,male ANON,00:16:42,female ANON,00:21:04
290,29/10/2022,311,30,male ANON,00:15:34,female ANON,00:20:05
289,22/10/2022,375,30,male ANON,00:17:21,female ANON,00:21:52
288,15/10/2022,413,30,male ANON,00:17:04,female ANON,00:19:23
287,8/10/2022,424,31,male ANON,00:15:43,female ANON,00:19:38
286,1/10/2022,395,34,male ANON,00:15:47,female ANON,00:18:10
285,24/09/2022,409,30,male ANON,00:16:04,female ANON,00:18:37
284,17/09/2022,409,28,male ANON,00:15:21,female ANON,00:20:19
283,10/9/2022,398,29,male ANON,00:17:14,female ANON,00:18:15
282,3/9/2022,385,33,male ANON,00:15:38,female ANON,00:17:26
281,27/08/2022,348,28,male ANON,00:15:48,female ANON,00:19:57
280,20/08/2022,367,26,male ANON,00:16:27,female ANON,00:17:56
279,13/08/2022,338,40,male ANON,00:17:42,female ANON,00:17:50
278,6/8/2022,345,40,male ANON,00:15:05,female ANON,00:21:22
277,30/07/2022,326,26,male ANON,00:16:39,female ANON,00:17:54
276,23/07/2022,385,30,male ANON,00:16:35,female ANON,00:18:50
275,16/07/2022,332,32,male ANON,00:15:52,female ANON,00:20:29
274,9/7/2022,288,35,male ANON,00:16:26,female ANON,00:19:33
273,2/7/2022,307,35,male ANON,00:15:48,female ANON,00:16:28
272,25/06/2022,301,26,male ANON,00:17:35,female ANON,00:19:00
271,11/6/2022,408,36,male ANON,00:15:35,female ANON,00:18:31
270,4/6/2022,329,40,male ANON,00:15:59,female ANON,00:20:25
269,28/05/2022,364,30,male ANON,00:16:14,female ANON,00:17:56
268,21/05/2022,377,34,male ANON,00:17:32,female ANON,00:20:29
267,14/05/2022,395,34,male ANON,00:15:28,female ANON,00:19:07
266,7/5/2022,377,29,male ANON,00:17:02,female ANON,00:20:31
265,30/04/2022,413,27,male ANON,00:15:25,female ANON,00:21:39
264,23/04/2022,386,33,male ANON,00:14:47,female ANON,00:19:51
263,16/04/2022,362,30,male ANON,00:16:44,female ANON,00:18:28
262,9/4/2022,312,30,male ANON,00:16:55,female ANON,00:18:13
261,2/4/2022,299,34,male ANON,00:16:31,female ANON,00:21:29
260,26/03/2022,364,29,male ANON,00:16:02,female ANON,00:18:34
259,19/03/2022,399,32,male ANON,00:16:18,female ANON,00:20:02
258,12/3/2022,428,31,male ANON,00:16:54,female ANON,00:17:10
257,5/3/2022,386,31,male ANON,00:15:55,female ANON,00:18:45
256,26/02/2022,404,30,male ANON,00:14:59,female ANON,00:22:05
255,19/02/2022,378,30,male ANON,00:16:58,female ANON,00:18:59
254,12/2/2022,379,30,male ANON,00:15:52,female ANON,00:18:19
253,5/2/2022,406,31,male ANON,00:17:07,female ANON,00:18:05
252,29/01/2022,376,31,male ANON,00:16:35,female ANON,00:18:34
251,22/01/2022,361,29,male ANON,00:16:48,female ANON,00:20:03
250,8/1/2022,324,31,male ANON,00:17:26,female ANON,00:19:28
249,1/1/2022,415,28,male ANON,00:15:14,female ANON,00:17:33
248,25/12/2021,231,25,male ANON,00:16:10,female ANON,00:18:12
247,18/12/2021,292,33,male ANON,00:16:15,female ANON,00:17:28
246,11/12/2021,254,33,male ANON,00:16:21,female ANON,00:18:00
245,4/12/2021,282,35,male ANON,00:16:25,female ANON,00:17:51
244,27/11/2021,142,31,male ANON,00:17:49,female ANON,00:18:02
243,20/11/2021,347,36,male ANON,00:15:34,female ANON,00:17:54
242,13/11/2021,364,31,male ANON,00:17:12,female ANON,00:17:30
241,30/10/2021,290,34,male ANON,00:15:31,female ANON,00:19:09
240,23/10/2021,362,31,male ANON,00:15:09,female ANON,00:18:42
239,16/10/2021,305,34,male ANON,00:16:50,female ANON,00:17:49
238,9/10/2021,355,36,male ANON,00:15:59,female ANON,00:17:25
237,2/10/2021,340,33,male ANON,00:16:24,female ANON,00:17:57
236,25/09/2021,332,37,male ANON,00:15:38,female ANON,00:17:23
235,11/9/2021,366,32,male ANON,00:15:27,female ANON,00:18:29
234,4/9/2021,333,32,male ANON,00:15:30,female ANON,00:18:26
233,28/08/2021,380,32,male ANON,00:15:33,female ANON,00:17:36
232,21/08/2021,318,29,male ANON,00:15:58,female ANON,00:18:42
231,14/08/2021,356,32,male ANON,00:17:16,female ANON,00:19:58
230,7/8/2021,407,31,male ANON,00:16:38,female ANON,00:17:31
229,31/07/2021,350,33,male ANON,00:16:21,female ANON,00:18:33
