POSITION,PARKRUNNER,GENDER,AGE GROUP,CLUB,TIME
1,Anon RUNNER,Male,SM25-29,Running Club,00:17:59
2,Anon RUNNER,Male,VM35-39,Running Club,00:18:46
3,Anon RUNNER,Male,SM25-29,Running Club,00:18:49
4,Anon RUNNER,Male,VM55-59,Running Club,00:19:01
5,Anon RUNNER,Male,VM35-39,Running Club,00:19:16
6,Anon RUNNER,Male,VM40-44,Running Club,00:19:24
7,Anon RUNNER,Male,SM25-29,Running Club,00:19:46
8,Anon RUNNER,Male,VM45-49,Running Club,00:20:00
9,Anon RUNNER,Male,VM35-39,Running Club,00:20:08
10,Anon RUNNER,Female,VW35-39,Running Club,00:20:11
11,Anon RUNNER,Male,VM35-39,Running Club,00:20:14
12,Anon RUNNER,Male,JM15-17,Running Club,00:20:18
13,Anon RUNNER,Male,SM30-34,Running Club,00:20:21
14,Anon RUNNER,Male,VM55-59,Running Club,00:20:24
15,Anon RUNNER,Male,SM30-34,Running Club,00:20:51
16,Anon RUNNER,Male,VM35-39,Running Club,00:20:57
17,Anon RUNNER,Male,VM45-49,Running Club,00:21:12
18,Anon RUNNER,Male,VM45-49,Running Club,00:21:19
19,Anon RUNNER,Male,VM40-44,Running Club,00:21:22
20,Anon RUNNER,Male,VM45-49,Running Club,00:21:23
21,Anon RUNNER,Male,VM45-49,Running Club,00:21:24
22,Anon RUNNER,Male,SM25-29,Running Club,00:21:35
23,Anon RUNNER,Male,VM45-49,Running Club,00:21:58
24,Anon RUNNER,Male,VM55-59,Running Club,00:22:01
25,Anon RUNNER,Male,VM50-54,Running Club,00:22:06
26,Anon RUNNER,Male,JM15-17,Running Club,00:22:13
27,Anon RUNNER,Female,SW25-29,Running Club,00:22:17
28,Anon RUNNER,Male,VM55-59,Running Club,00:22:23
29,Anon RUNNER,Male,VM50-54,Running Club,00:22:24
30,Anon RUNNER,Male,VM40-44,Running Club,00:22:27
31,Anon RUNNER,Male,VM60-64,Running Club,00:22:29
32,Anon RUNNER,Male,VM45-49,Running Club,00:22:31
33,Anon RUNNER,Male,SM30-34,Running Club,00:22:34
34,Anon RUNNER,Male,VM45-49,Running Club,00:22:35
35,Anon RUNNER,Male,VM45-49,Running Club,00:22:39
36,Anon RUNNER,Male,VM45-49,Running Club,00:22:41
37,Anon RUNNER,Male,VM40-44,Running Club,00:22:45
38,Anon RUNNER,Male,VM35-39,Running Club,00:22:46
39,Anon RUNNER,Male,VM60-64,Running Club,00:22:52
40,Anon RUNNER,Male,VM55-59,Running Club,00:22:55
41,Anon RUNNER,Male,VM40-44,Running Club,00:23:15
42,Anon RUNNER,,,Running Club,
43,Anon RUNNER,Male,VM50-54,Running Club,00:23:31
44,Anon RUNNER,Male,VM55-59,Running Club,00:23:41
45,Anon RUNNER,Male,VM50-54,Running Club,00:23:49
46,Anon RUNNER,Male,VM40-44,Running Club,00:23:53
47,Anon RUNNER,Male,VM50-54,Running Club,00:23:58
48,Anon RUNNER,Male,SM20-24,Running Club,00:24:00
49,Anon RUNNER,Male,VM55-59,Running Club,00:24:01
50,Anon RUNNER,Male,JM10,Running Club,00:24:06
51,Anon RUNNER,Male,SM25-29,Running Club,00:24:08
52,Anon RUNNER,Male,VM45-49,Running Club,00:24:09
